total_participants, male, female 
193, 45.8, 54.2
389, 36.6, 63.4
2.310, 21.1, 79
8.223, 18.1, 81.9
1.589, 19.8, 80.3
336, 22.1, 77.9
120, 85, 15
80, 83.8, 16.2
1.242, 71.8, 28.2
4.145, 73.8, 26.2
8.443, 72.2, 27.9
622, 77.3, 22.6
89, 73.4, 26.6
-, -, -
2.867, 48.4, 51.6
939, 58, 42
3.486, 35, 65
12.701, 10.5, 89.5
229, 19, 81
-, -, -
333, 14.9, 85.1
342, 66.9, 33.1
1.038, 72.3, 27.7
-, -, -
164, 63, 37
309, 52.4, 47.6
136, 91.6, 8.4
-, -, -
38.182, 20.7, 79.3
355, 50.4, 49.6
78, 67.9, 32.1
-, -, -
-, -, -
-, -, -
80, 82.5, 17.5
2.579, 89.2, 10.8
4.040, 6.4, 93.5
1.124, 39.9, 60.1
846, 38.3, 61.7
1.512, 11.7, 88.3
162, 20.3, 79.6
90, 84.1, 15.9
109, 88.6, 11.4
179, 52.8, 47.3
229, 59.6, 40.4
-, -, -
3.041, 37.3, 62.6
664, 67.7, 33.8
543, 74.7, 25.2
184, 67.9, 32.1
613, 63.7, 36.4
176, 72.7, 27.3
277, 62.2, 37.8
8.112, 30.5, 69.6
1.196, 35.5, 64.5
-, -, -
258, 46.5, 53.6
2.838, 75.7, 24.3
1.772, 60.4, 39.6
4.637, 59, 40.9
1.468, 69.6, 30.4
80, 80, 20
773, 70, 30
928, 71.8, 28.2
94, 56.5, 43.5
1.388, 42.5, 57.5
2.059, 73.6, 26.4
845, 43, 57
971, 45.4, 54.6
1.514, 84.6, 15.3
189, 29.6, 70.4
98, 78.7, 21.3
506, 44.7, 55.3
271, 20.1, 79.9
254, 25.6, 74.4
2.274, 88.5, 11.5
1.529, 87.6, 12.4
1.967, 85.6, 14.4
283, 84.2, 15.9
-, -, -
38.287, 22.5, 77.5
-, -, -
6.609, 23.6, 76.4
2.941, 28.4, 71.6
916, 52.3, 47.7
370, 24.4, 75.7
6.341, 27.9, 72.1
56, 51.3, 48.6
360, 36.1, 63.9
691, 33.7, 66.3
5.226, 44.2, 55.8
11.052, 19.8, 80.2
1.227, 42.1, 57.9
2.604, 21.9, 78.1
8.123, 22.8, 77.2
2.311, 70.4, 31.3
301, 71.7, 28.2
318, 83.2, 16.8
1.691, 84.6, 15.5
13.857, 77, 23.1
75, 94.7, 5.3
365, 87.8, 12.1
9.495, 73.5, 26.5
1.823, 70.3, 29.7
59, 56.3, 43.7
316, 86.5, 13.5
470, 24.4, 75.6
-, -, -
227, 48.7, 51.3
3.853, 40.9, 59.1
826, 72.2, 27.8
127, 73.2, 26.8
384, 68.5, 31.5
2.796, 72.1, 27.9
