job_name,mean_salary,max_salary,min_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_adv.,total_participants,male,female
Prototip Mühendisi, 6.150, 5.000, 7.450,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 4,0.0,-, -, -
Prova Mankeni, 4.500, 2.500, 6.530,Moda Tasarımı (MYO), İktisat, Uluslararası İlişkiler, Çocuk Gelişimi (MYO), Moda Tasarımı, Tekstil, Reklam ve Tanıtım, Turizm, Ticaret, Eğitim, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Beykent Üniversitesi, İstanbul Aydın Üniversitesi, Marmara Üniversitesi, Spor,Basketbol,Futbol,Müzik,Yüzme,7,17.0,464, 19.5, 80.6
Psikiyatri Uzmanı, 13.000, 9.000, 17.580,Tıp, Psikoloji,  Klinik Psikoloji, Radyoterapi (MYO), İletişim Sanatları, Sağlık, Hizmet, Sigortacılık, Danışmanlık, Güvenlik, İstanbul Üniversitesi (İÜ), Ege Üniversitesi, Hacettepe Üniversitesi, Gülhane Askeri Tıp Akademisi, Marmara Üniversitesi, Etkili İletişim,Omni,İstatistiksel analiz,Wpqr,Kayıt Yönetimi,8,7.0,228, 44.6, 55.4
Psikolog, 3.050, 2.020, 4.280,Psikoloji, Rehberlik ve Psikolojik Danışmanlık, Sosyoloji,  Klinik Psikoloji, İşletme, Eğitim, Sağlık, Danışmanlık, Hizmet, Topluluklar, İstanbul Üniversitesi (İÜ), Ege Üniversitesi, Hacettepe Üniversitesi, Uludağ Üniversitesi, Maltepe Üniversitesi, SPSS,-, -, -, -, 236,49.0,6.304, 17.1, 82.9
Psikolojik Danışman, 2.930, 2.020, 3.880,Rehberlik ve Psikolojik Danışmanlık, Psikoloji, Sosyoloji, Felsefe, Eğitim Bilimleri, Eğitim, Danışmanlık, Sağlık, Hizmet, Topluluklar, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Yeditepe Üniversitesi, Boğaziçi Üniversitesi, Ankara Üniversitesi, SPSS,-, -, -, -, 91,45.0,2.022, 28.9, 71.1
Psikoterapist, -, -, -, Psikoloji, Rehberlik ve Psikolojik Danışmanlık, Tıp,  Klinik Psikoloji, Fizik, Sağlık, Hizmet, Danışmanlık, Eğitim, Sigortacılık, İstanbul Üniversitesi (İÜ), İstanbul Bilgi Üniversitesi, Marmara Üniversitesi, Orta Doğu Teknik Üniversitesi (ODTÜ), Boğaziçi Üniversitesi, Sosyal Hizmetler,SPSS,-, -, -, -,0.0,189, 22.6, 78.7
Puantör, 2.990, 2.020, 4.090,İşletme, Deniz ve Liman İşletme (MYO), İktisat, Dış Ticaret (MYO), Kamu Yönetimi, Yapı, Denizcilik, Taşımacılık, Hizmet, Maden ve Metal Sanayi, Anadolu Üniversitesi, Kocaeli Üniversitesi, Süleyman Demirel Üniversitesi, Uludağ Üniversitesi, Dumlupınar Üniversitesi, AutoCAD,SAP,-, -, -, 89,11.0,2.381, 87.8, 12.2
Punch Operatörü, 2.700, 2.070, 3.330,Makine (MYO), Otomotiv (MYO), Makina Resim Konstrüksiyon, Muhasebe ve Vergi Uygulamaları, Mekatronik (MYO), Maden ve Metal Sanayi, Elektrik & Elektronik, Üretim / Endüstriyel Ürünler, Yapı, Ev Eşyaları, Kocaeli Üniversitesi, Gaziosmanpaşa Üniversitesi, Dokuz Eylül Üniversitesi, Necmettin Erbakan Üniversitesi, Akdeniz Üniversitesi, Adobe Photoshop,AutoCAD,Corel Draw,E SINIFI EHLİYET,Genel Muhasebe,15,8.0,140, 88.4, 11.5
Radyoloji Hemşiresi, 2.950, 2.300, 3.910,Tıbbi Görüntüleme Teknikleri, Hemşirelik (MYO), Radyoloji (MYO), Laborant ve Veteriner Sağlık  (MYO), Hemşirelik ve Sağlık Hizmetleri, -, -, -, -, -, Anadolu Üniversitesi, Üsküdar Üniversitesi , Biruni Üniversitesi, Çanakkale 18 Mart Üniversitesi, Kapadokya Meslek Yüksekokulu, Müzik,Atılımcılık,Amatör Fotoğrafçılık,Hedefleri Olan,İletişim Becerisi Yüksek,4,0.0,107, 30.4, 69.6
Radyoloji Raportörü, 2.490, 2.020, 3.050,Tıbbi Dokümantasyon ve Sekreterlik (MYO), İşletme, Bilgisayar Teknolojisi ve Programlama (MYO), Büro Yönetimi ve Sekreterlik (MYO), Sağlık Kurumları İşletmeciliği, Sağlık, Hizmet, Sigortacılık, Eğitim, Reklam ve Tanıtım, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Süleyman Demirel Üniversitesi, Balıkesir Üniversitesi, Kocaeli Üniversitesi, Raporlama,Tıbbi Terminoloji,-, -, -, 33,14.0,1.010, 13.2, 86.9
Radyoloji Teknikeri, 2.570, 2.020, 3.270,Tıbbi Görüntüleme Teknikleri, Radyoloji (MYO), Radyoterapi (MYO), İşletme, Biyomedikal Cihaz Teknolojisi (MYO), Sağlık, Hizmet, Sigortacılık, Çevre, Eğitim, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, İstanbul Aydın Üniversitesi, İstanbul Bilim Üniversitesi, Üsküdar Üniversitesi , Röntgen,-, -, -, -, 207,18.0,7.431, 48, 52
Radyoloji Teknisyeni, 2.620, 2.020, 3.320,Tıbbi Görüntüleme Teknikleri, Radyoloji (MYO), Radyoterapi (MYO), Sağlık Kurumları İşletmeciliği, Biyomedikal Cihaz Teknolojisi (MYO), Sağlık, Hizmet, Sigortacılık, Çevre, Eğitim, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Dokuz Eylül Üniversitesi, Gazi Üniversitesi, Röntgen,-, -, -, -, 22,7.0,2.497, 45.2, 54.8
Radyoloji Uzmanı, 17.070, 12.460, 21.680,Tıp, Radyoloji (MYO), Dahili Tıp Bilimleri, Sağlık Eğitimi, Fizik, Sağlık, Hizmet, Sigortacılık, Eğitim, Üretim / Endüstriyel Ürünler, İstanbul Üniversitesi (İÜ), Ankara Üniversitesi, Hacettepe Üniversitesi, Ege Üniversitesi, Dokuz Eylül Üniversitesi, Muhasebe,-, -, -, -, 25,15.0,468, 53.5, 46.5
Radyoterapi Teknikeri, 3.030, 2.020, 4.340,Radyoterapi (MYO), Radyoloji (MYO), Tıbbi Görüntüleme Teknikleri, Biyoloji, İşletme, Sağlık, Hizmet, Sigortacılık, Tekstil, Eğitim, Acıbadem Üniversitesi , İstanbul Aydın Üniversitesi, Nişantaşı Üniversitesi, İstanbul Medipol Üniversitesi , İstanbul Üniversitesi (İÜ), İşçi Sağlığı ve İş Güvenliği,-, -, -, -, 34,0.0,1.096, 39.4, 60.6
Raporlama Uzmanı, 4.460, 2.310, 6.610,İşletme, İstatistik, Bilgisayar Teknolojisi ve Programlama (MYO), Endüstri Mühendisliği, İktisat, Hizmet, Finans - Ekonomi, Sigortacılık, Telekomünikasyon, Enerji, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Sakarya Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Bütçe planlama ve raporlama,Finansal Raporlama,İş ve süreç analizi,MS SQL Server,Photoshop,72,94.0,700, 45, 55
Raportör, 2.880, 2.020, 3.880,İşletme, Bankacılık ve Sigortacılık (MYO), Tıbbi Dokümantasyon ve Sekreterlik (MYO), Bankacılık ve Sigortacılık, İktisat, Sigortacılık, Sağlık, Hizmet, Otomotiv, Yapı, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Kocaeli Üniversitesi, Selçuk Üniversitesi, Uludağ Üniversitesi, Adobe Photoshop,AutoCAD,Java,Muhasebe,Raporlama,44,4.0,2.194, 38.3, 61.7
Raylı Sistemler Mühendisi, 5.460, 3.200, 8.720,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 5,0.0,-, -, -
Redaktör, 3.030, 2.600, 3.910,Türk Dili ve Edebiyatı, Türkçe Öğretmenliği, Gazetecilik, Türk Dili ve Edebiyatı Öğretmenliği, Tarih, Basım - Yayın, Eğitim, Medya, Hizmet, Reklam ve Tanıtım, İstanbul Üniversitesi (İÜ), Ankara Üniversitesi, Gazi Üniversitesi, Hacettepe Üniversitesi, Ege Üniversitesi, Adobe Illustrator,Adobe Photoshop,InDesign,Sosyal Medya Yönetimi,-, 3,1.0,272, 28.5, 71.5
Rehber Öğretmen, 2.900, 2.090, 3.710,Sosyoloji, Felsefe, Rehberlik ve Psikolojik Danışmanlık, Felsefe Grubu Öğretmenliği, Psikoloji, Eğitim, Danışmanlık, Turizm, Hizmet, Bilişim, Anadolu Üniversitesi, Sakarya Üniversitesi, Pamukkale Üniversitesi, İstanbul Üniversitesi (İÜ), Uludağ Üniversitesi, Rehberlik,SPSS,-, -, -, 337,150.0,9.175, 19.9, 80.1
Rehberlik ve Psikolojik Danışman, 3.200, 2.220, 4.260,Rehberlik ve Psikolojik Danışmanlık, Sosyoloji, Psikoloji, Felsefe, Felsefe Grubu Öğretmenliği, Eğitim, Danışmanlık, Sağlık, Hizmet, Turizm, Sakarya Üniversitesi, İstanbul Üniversitesi (İÜ), Pamukkale Üniversitesi, Uludağ Üniversitesi, Anadolu Üniversitesi, SPSS,-, -, -, -, 95,96.0,3.747, 25.8, 74.2
Rejisör, -, -, -, Radyo - Sinema ve Televizyon, Radyo ve Televizyon Programcılığı (MYO), Sinema ve Televizyon, Gazetecilik, Radyo ve Televizyon, Medya, Basım - Yayın, Eğlence - Kültür - Sanat, Reklam ve Tanıtım, Eğitim, Anadolu Üniversitesi, Beykent Üniversitesi, Selçuk Üniversitesi, Kocaeli Üniversitesi, Erciyes Üniversitesi, Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,Sosyal Medya,-,0.0,121, 67.8, 32.2
Reklam Danışmanı, 4.500, 3.000, 6.070,İşletme, Halkla İlişkiler ve Tanıtım, Reklamcılık, Halkla İlişkiler ve Reklamcılık, Pazarlama (MYO), Reklam ve Tanıtım, Medya, Basım - Yayın, Bilişim, Hizmet, Anadolu Üniversitesi, Kocaeli Üniversitesi, Selçuk Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Adobe After Effects,Adobe Dreamweaver,Adobe Photoshop,CSS,CSS3,7,2.0,668, 45.4, 54.6
Reklam Müdürü, 3.040, 2.020, 5.080,İşletme, Halkla İlişkiler ve Reklamcılık, Halkla İlişkiler, İktisat, Kamu Yönetimi, Medya, Reklam ve Tanıtım, Basım - Yayın, Turizm, Bilişim, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Ege Üniversitesi, Uludağ Üniversitesi, Adobe After Effects,Adobe Flash,Adobe Illustrator,Adobe Photoshop,CorelDraw,6,0.0,521, 41.2, 58.7
Reklam Satış Temsilcisi, -, -, -, İşletme, Halkla İlişkiler ve Reklamcılık, İktisat, Radyo ve Televizyon Programcılığı (MYO), Radyo - Sinema ve Televizyon, Medya, Reklam ve Tanıtım, Basım - Yayın, Turizm, Bilişim, Anadolu Üniversitesi, Beykent Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Dokuz Eylül Üniversitesi, Adobe After Effects,Adobe Illustrator,Adobe Photoshop,İş ve süreç analizi,Proje Yönetimi,-,16.0,475, 39.9, 60.1
Reklam ve Halkla İlişkiler Sorumlusu, -, -, -, Halkla İlişkiler ve Tanıtım, Halkla İlişkiler ve Reklamcılık, İşletme, Halkla İlişkiler, Halkla İlişkiler ve Tanıtım (MYO), Reklam ve Tanıtım, Medya, Basım - Yayın, Eğitim, Yapı, Anadolu Üniversitesi, Gazi Üniversitesi, Selçuk Üniversitesi, İstanbul Üniversitesi (İÜ), Beykent Üniversitesi, Adobe Illustrator,Adobe Photoshop,Dijital Pazarlama,Halkla İlişkiler,Mobil Pazarlama,-,1.0,470, 26.1, 73.9
Reklam Yazarı, 3.080, 2.020, 4.400,Reklamcılık, Halkla İlişkiler ve Reklamcılık, Halkla İlişkiler ve Tanıtım, İşletme, Gazetecilik, Reklam ve Tanıtım, Medya, Bilişim, Ticaret, Basım - Yayın, Anadolu Üniversitesi, Ege Üniversitesi, Ankara Üniversitesi, Marmara Üniversitesi, İstanbul Üniversitesi (İÜ), Adobe Illustrator,Adobe Photoshop,Dijital Pazarlama,Metin Yazarlığı,Mobil Pazarlama,14,1.0,460, 57, 44.6
Renk Analisti, 3.490, 2.300, 5.260,Kimya, Tekstil (MYO), Kimya (MYO), Tasarım ve Basım-Yayımcılık (MYO), Kimya Teknolojisi (MYO), Tekstil, Kimya, Üretim / Endüstriyel Ürünler, Medya, Basım - Yayın, Ege Üniversitesi, Kırklareli Üniversitesi, Adnan Menderes Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Trakya Üniversitesi, Adobe Dreamweaver,Adobe Illustrator,Adobe Photoshop,CorelDraw,Freehand,3,1.0,61, 45.9, 54.1
Renk Uzmanı, 3.600, 2.020, 5.240,Kimya, Tekstil (MYO), Boya Teknolojisi (MYO), Kimya Mühendisliği, Kimya Teknolojisi (MYO), Kimya, Tekstil, Üretim / Endüstriyel Ürünler, Basım - Yayın, Medya, Kocaeli Üniversitesi, Anadolu Üniversitesi, Marmara Üniversitesi, Uludağ Üniversitesi, Ege Üniversitesi, Adobe Photoshop,ISO 14000,ISO 9000,ISO 9001,-, 15,2.0,253, 65.2, 34.8
Resepsiyonist, 2.560, 2.020, 3.150,Turizm ve Otel İşletmeciliği (MYO), Turizm İşletmeciliği, İşletme, Konaklama İşletmeciliği, Turizm İşletmeciliği ve Otelcilik, Turizm, Otomotiv, Hizmet, Sağlık, Eğitim, Anadolu Üniversitesi, Akdeniz Üniversitesi, Muğla Üniversitesi, Balıkesir Üniversitesi, Selçuk Üniversitesi, Adobe Photoshop,-, -, -, -, 550,291.0,32.075, 47.5, 52.5
Resim Öğretmeni, 2.620, 2.020, 3.250,Resim-İş Öğretmenliği, Resim, Güzel Sanatlar, Mesleki Resim Öğretmenliği, Geleneksel Türk El Sanatları, Eğitim, Eğlence - Kültür - Sanat, Danışmanlık, Tekstil, Hizmet, Marmara Üniversitesi, Gazi Üniversitesi, Dokuz Eylül Üniversitesi, Uludağ Üniversitesi, Mimar Sinan Güzel Sanatlar Üniversitesi, Adobe Illustrator,Adobe Photoshop,CorelDraw,Grafik Tasarım,Photoshop,8,19.0,1.887, 18, 82
Restoran Müdürü, 3.730, 2.430, 5.030,İşletme, Turizm ve Otel İşletmeciliği (MYO), Turizm - Otelcilik, Kamu Yönetimi, İktisat, Gıda, Turizm, Eğlence - Kültür - Sanat, Hizmet, Hızlı Tüketim Malları, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Akdeniz Üniversitesi, Afyon Kocatepe Üniversitesi, Sakarya Üniversitesi, Depo Ve Stok Yönetimi,İnsan Kaynakları Yönetimi,Muhasebe,Nakit Yönetimi,Satış Yönetimi,135,53.0,3.353, 81, 19
Restorasyon Teknikeri, 3.550, 2.020, 5.100,Mimari Restorasyon, Restorasyon (MYO), Restorasyon ve Konservasyon (MYO), Mimari Dekoratif Sanatlar (MYO), Mimarlık, Yapı, Hizmet, Eğlence - Kültür - Sanat, Turizm, Mobilya & Aksesuar, Karabük Üniversitesi, Dumlupınar Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Süleyman Demirel Üniversitesi, Fatih Sultan Mehmet Üniversitesi , 2D Autocad,3D Max,3D Studio Max,Adobe Photoshop,AutoCAD,12,0.0,469, 32.1, 67.9
Restoratör, 2.800, 2.300, 3.330,Mimari Restorasyon, Restorasyon (MYO), Restorasyon ve Konservasyon (MYO), Taşınabilir Kültür Varlıklarını Koruma ve Onarım, Mimari Dekoratif Sanatlar (MYO), Yapı, Eğlence - Kültür - Sanat, Hizmet, Eğitim, Turizm, Dumlupınar Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Süleyman Demirel Üniversitesi, Karabük Üniversitesi, Muğla Üniversitesi, 3D Max,3D Studio Max,Adobe Illustrator,Adobe Photoshop,AutoCAD,12,2.0,1.086, 27.5, 72.5
Reyon Görevlisi, -, -, -, İşletme, Kamu Yönetimi, İktisat, Maliye, Bilgisayar Teknolojisi ve Programlama (MYO), Ticaret, Gıda, Tekstil, Perakende, Hizmet, Anadolu Üniversitesi, Selçuk Üniversitesi, Süleyman Demirel Üniversitesi, Akdeniz Üniversitesi, Kocaeli Üniversitesi, Bilgisayar,Microsoft Office,Satış ve Pazarlama,Futbol,Microsoft Office Word,-,3.0,9.988, 62.5, 37.5
RF Planlama Mühendisi, 3.540, 2.680, 5.240,Elektronik ve Haberleşme Müh., Elektrik/Elektronik Mühendisliği, Elektronik Mühendisliği, Bilgisayar Mühendisliği, Endüstri Mühendisliği, -, -, -, -, -, Kocaeli Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), Uludağ Üniversitesi, Çankaya Üniversitesi, Kadir Has Üniversitesi, GSM,MATLAB,Python,-, -, 6,1.0,68, 91.2, 8.8
RF Tasarım Mühendisi, 6.630, 3.500, 10.840,Elektrik/Elektronik Mühendisliği, Elektronik ve Haberleşme Müh., Elektronik Mühendisliği, Telekomünikasyon Mühendisliği, Fizik Mühendisliği, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Telekomünikasyon, Bilişim, Yapı, Hacettepe Üniversitesi, İhsan Doğramacı Bilkent Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), Yıldız Teknik Üniversitesi (YTÜ), Orta Doğu Teknik Üniversitesi (ODTÜ), Altium Desinger,AutoCAD,Baskı Devre Tasarımı,Bilgisayar Destekli Tasarım Araçları,C++,9,3.0,63, 93.7, 6.3
Risk Değerlendirme Uzmanı, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Risk İzleme Uzmanı, 5.080, 2.500, 7.960,İşletme, İktisat, Maliye, İstatistik, Bankacılık ve Sigortacılık (MYO), Finans - Ekonomi, Eğlence - Kültür - Sanat, Danışmanlık, Taşımacılık, Telekomünikasyon, Anadolu Üniversitesi, Sakarya Üniversitesi, Gazi Üniversitesi, Kocaeli Üniversitesi, Ondokuz Mayıs Üniversitesi, Bankacılık/Finans,Bilanço analizi,Finansal Risk Yönetimi,Kredi analizi,Mali tablolar analizi,4,0.0,72, 40.3, 59.7
Risk Müdürü, 12.530, 10.000, 16.040,İşletme, Ekonomi, İktisat (İngilizce), İnşaat Mühendisliği, Uluslararası İlişkiler, Finans - Ekonomi, Sigortacılık, Danışmanlık, Telekomünikasyon, Enerji, İstanbul Üniversitesi (İÜ), Boğaziçi Üniversitesi, Orta Doğu Teknik Üniversitesi (ODTÜ), İstanbul Teknik Üniversitesi (İTÜ), Marmara Üniversitesi, Finans,Finansal Analiz,Finansal Risk Yönetimi,Genel Muhasebe,ISO 27001 (Bilgi Güvenliği),6,1.0,126, 65.9, 34.1
Risk Mühendisi, 7.270, 6.000, 8.740,Makine Mühendisliği, İnşaat Mühendisliği, Endüstri Mühendisliği, Çevre Mühendisliği, Jeoloji Mühendisliği, Sigortacılık, Yapı, Enerji, Telekomünikasyon, Hizmet, Yıldız Teknik Üniversitesi (YTÜ), İstanbul Teknik Üniversitesi (İTÜ), Kocaeli Üniversitesi, Çukurova Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), AutoCAD,Catia,İş ve süreç analizi,Proje Yönetimi,Raporlama,10,2.0,110, 91.8, 8.2
Risk Uzmanı, 5.870, 2.740, 9.010,Matematik, Ekonomi, İnşaat Mühendisliği, Uluslararası İlişkiler, Kamu Yönetimi, Finans - Ekonomi, Sigortacılık, Danışmanlık, Enerji, Telekomünikasyon, Boğaziçi Üniversitesi, İstanbul Üniversitesi (İÜ), İhsan Doğramacı Bilkent Üniversitesi, Orta Doğu Teknik Üniversitesi (ODTÜ), Marmara Üniversitesi, Attention To Detail,Finansal Risk Yönetimi,MS Access,R Programming Language,Risk analizi,8,9.0,89, 34.8, 65.2
Risk Yönetim Uzmanı, 4.860, 2.400, 7.450,İşletme, Matematik, İktisat, Endüstri Mühendisliği, İstatistik, Finans - Ekonomi, Sigortacılık, Telekomünikasyon, Bilişim, Üretim / Endüstriyel Ürünler, Marmara Üniversitesi, Orta Doğu Teknik Üniversitesi (ODTÜ), Dokuz Eylül Üniversitesi, Anadolu Üniversitesi, Hacettepe Üniversitesi, Finansal Raporlama,Finansal Risk Yönetimi,Genel Muhasebe,İstatistiksel analiz,MATLAB,12,0.0,213, 51.2, 48.9
Romatoloji Uzmanı, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1.0,-, -, -
Röntgen Teknikeri, 3.400, 2.600, 5.020,Tıbbi Görüntüleme Teknikleri, Radyoloji (MYO), Biyomedikal Cihaz Teknolojisi (MYO), Radyoterapi (MYO), Tıbbi Dokümantasyon ve Sekreterlik (MYO), Sağlık, Hizmet, Sigortacılık, Tekstil, Danışmanlık, İstanbul Üniversitesi (İÜ), Selçuk Üniversitesi, Ondokuz Mayıs Üniversitesi, Bahçeşehir Üniversitesi, Fırat Üniversitesi, HTML,Otomasyon Sistemleri,PHP,Röntgen,STOK TAKİBİ,5,7.0,359, 56.4, 43.6
Röntgen Teknisyeni, -, -, -, Tıbbi Görüntüleme Teknikleri, Radyoloji (MYO), Biyomedikal Cihaz Teknolojisi (MYO), İktisat, Bilgisayar Teknolojisi ve Programlama (MYO), Sağlık, Hizmet, Sigortacılık, Topluluklar, Denizcilik, Anadolu Üniversitesi, Hacettepe Üniversitesi, Afyon Kocatepe Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Bilgisayar Destekli Tasarım Araçları,Elektrik/Elektronik,Röntgen,-, -, -,0.0,302, 57.3, 42.7
Ruhsatlandırma Uzmanı, 5.580, 3.730, 7.430,Kimya, Kimya Mühendisliği, Eczacılık, Biyoloji, Veteriner, Sağlık, Kimya, Danışmanlık, Tarım / Ziraat, Yapı, İstanbul Üniversitesi (İÜ), İstanbul Teknik Üniversitesi (İTÜ), Hacettepe Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Ege Üniversitesi, GCMS / HPLC,Gıda Mevzuatı,GMP,ISO 9001,İşçi Sağlığı ve İş Güvenliği,51,71.0,511, 9, 91
Rusça Öğretmeni, 3.340, 2.500, 4.630,Rus Dili ve Edebiyatı, Mütercim-Tercümanlık (Rusça), Uluslararası İlişkiler, İngiliz Dili ve Edebiyatı, Sınıf Öğretmenliği, Eğitim, Danışmanlık, Turizm, Yapı, Hizmet, Ankara Üniversitesi, Gazi Üniversitesi, Selçuk Üniversitesi, Erciyes Üniversitesi, Anadolu Üniversitesi, Adobe Photoshop,CorelDraw,Dış Ticaret,-, -, 9,1.0,719, 20.3, 79.7
Saç Bakım Uzmanı, 2.830, 2.500, 3.700,Saç Bakımı ve Güzellik Hizmetleri, Cilt Bakımı ve Güzellik (MYO), İşletme, Pazarlama (MYO), İktisadi İdari İlimler, Sağlık, Kimya, Hizmet, Ticaret, Eğitim, Anadolu Üniversitesi, Adnan Menderes Üniversitesi, Dicle Üniversitesi, Mersin Üniversitesi, Bülent Ecevit Üniversitesi, Muhasebe,Üretim Elemanı,-, -, -, 3,0.0,174, 28.5, 71.5
Saç Ekim Uzmanı, 4.250, 4.000, 5.000,Biyoloji, Anestezi Teknikerliği (MYO), Tıbbi Laboratuvar (MYO), Anestezi (MYO), Ameliyathane Teknikerliği (MYO), Sağlık, Hizmet, Sigortacılık, Turizm, Kimya, Anadolu Üniversitesi, Marmara Üniversitesi, İstanbul Üniversitesi (İÜ), Nişantaşı Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), MS Excel,Araştırmacı,Spor Yapma,Team Work,Genel Kültür,5,8.0,223, 44.5, 55.6
Saç Tasarımcısı, 4.250, 2.500, 8.150,Büro Yönetimi ve Yönetici Asistanlığı (MYO), Kuaförlük (MYO), Tiyatro, Konaklama ve Turizm İşletmeciliği, Makine-Resim-Konstrüksiyon (MYO), Sağlık, Kimya, Hizmet, Eğlence - Kültür - Sanat, Turizm, Anadolu Üniversitesi, Nişantaşı Üniversitesi Meslek Yüksekokulu, İstanbul Üniversitesi (İÜ), Selçuk Üniversitesi, Sakarya Üniversitesi, 3D Tasarım ve Modelleme Uygulaması,Genel Muhasebe,ISIS PROTEUS / ARES,İş Zekası,Satış Yönetimi,4,0.0,96, 58.1, 41.8
Sağlık Memuru, 3.190, 2.090, 4.290,Sağlık Memurluğu, Hemşirelik ve Sağlık Hizmetleri, Sağlık Kurumları İşletmeciliği, Laborant ve Veteriner Sağlık  (MYO), Tıbbi Laboratuvar (MYO), Sağlık, Hizmet, Yapı, Sigortacılık, Çevre, Anadolu Üniversitesi, Kocaeli Üniversitesi, Atatürk Üniversitesi, Gülhane Askeri Tıp Akademisi, Pamukkale Üniversitesi, İşçi Sağlığı ve İş Güvenliği,Photoshop,-, -, -, 41,45.0,2.264, 79.2, 20.8
Sağlık Personeli, 2.590, 2.020, 3.250,Yaşlı Hizmetleri Bakımı (MYO), Tıbbi Laboratuvar (MYO), İlk ve Acil (Paramedik), Hemşirelik ve Sağlık Hizmetleri, Tıbbi Dokümantasyon ve Sekreterlik (MYO), Sağlık, Hizmet, Sigortacılık, Çevre, Yapı, Anadolu Üniversitesi, Atatürk Üniversitesi, İstanbul Üniversitesi (İÜ), Adnan Menderes Üniversitesi, Cumhuriyet Üniversitesi, İşçi Sağlığı ve İş Güvenliği,-, -, -, -, 36,39.0,2.962, 43.5, 56.5
Sağlık Teknikeri, 2.600, 2.020, 3.600,Yaşlı Hizmetleri Bakımı (MYO), Tıbbi Dokümantasyon ve Sekreterlik (MYO), Tıbbi Laboratuvar (MYO), Ağız ve Diş Sağlığı (MYO), Tıbbi Görüntüleme Teknikleri, Sağlık, Hizmet, Sigortacılık, Hayvancılık, Yapı, Anadolu Üniversitesi, Sakarya Üniversitesi, Cumhuriyet Üniversitesi, Adnan Menderes Üniversitesi, Karamanoğlu Mehmetbey Üniversitesi, İşçi Sağlığı ve İş Güvenliği,Sterilizasyon,-, -, -, 9,2.0,1.892, 38.2, 61.8
Sağlık Teknisyeni, 2.410, 2.300, 2.590,Biyoloji, Yaşlı Hizmetleri Bakımı (MYO), Elektronörofizyoloji (MYO), Tıbbi Dokümantasyon ve Sekreterlik (MYO), Sağlık Kurumları İşletmeciliği, Sağlık, Hizmet, Sigortacılık, Eğitim, Yapı, Anadolu Üniversitesi, Çukurova Üniversitesi, İstanbul Üniversitesi (İÜ), Gazi Üniversitesi, Atatürk Üniversitesi, İşçi Sağlığı ve İş Güvenliği,Sterilizasyon,Wireless,-, -, 5,0.0,675, 39.5, 60.6
Saha Destek Elemanı, 2.720, 2.020, 3.470,İşletme, Elektrik (MYO), Bilgisayar Programcılığı, Bilgisayar Teknolojisi ve Programlama (MYO), Kamu Yönetimi, Bilişim, Telekomünikasyon, Elektrik & Elektronik, Hizmet, Reklam ve Tanıtım, Anadolu Üniversitesi, Atatürk Üniversitesi, İstanbul Üniversitesi (İÜ), Dokuz Eylül Üniversitesi, Sakarya Üniversitesi, Adobe Photoshop,C Programming Language,C#,Genel Muhasebe,Muhasebe,48,15.0,1.083, 72.8, 27.2
